gene_id	ERS490437	ERS494394	ERS490331	ERS490187	ERS488920	ERS488625	ERS490542	ERS494445	ERS494173	ERS494518	ERS488573	ERS488299	ERS490659	ERS494332	ERS489074	ERS488547	ERS490743	ERS490269	ERS489339	ERS489164	ERS491424	ERS490396	ERS489677	ERS489136	ERS489585	ERS488332	ERS494583
P9301_08251 	5	2	0	0	0	0	11	0	6	0	55	0	6	20	0	48	30	0	19	13	0	29	0	0	1	0	0
P9301_08261 	43	20	0	0	61	0	18	48	100	1	53	0	36	39	0	88	13	0	9	44	0	268	6	8	25	0	0
P9301_08271 	274	161	4	1	221	75	491	77	966	96	826	0	810	1694	12	1158	607	0	110	298	1	2703	346	3	0	0	0
P9301_08281 	17	16	28	0	77	143	15	29	116	17	72	0	49	196	18	175	57	2	16	116	0	323	204	41	0	0	1
P9301_08291 	148	20	1	0	152	586	205	20	854	8	709	0	326	796	0	1481	201	0	125	420	0	4030	26	31	0	0	0
P9301_08301 	33	0	0	0	3996	85	51	0	85	0	81	0	38	70	51	269	133	0	171	272	0	277	122	504	118	0	0
P9301_08311 	3	0	0	0	65	0	7	0	9	0	0	0	11	0	0	23	6	0	0	20	0	18	4	6	1	0	0
P9301_08321 	37	0	0	0	29	74	19	21	65	0	107	0	67	64	0	232	15	0	26	154	0	382	27	19	101	0	0
P9301_08331 	4	0	0	0	0	39	16	0	20	0	39	0	11	16	0	75	9	0	8	86	0	138	13	14	0	0	0
P9301_08341 	270	12	0	0	923	648	405	0	282	8	1515	1	430	238	15	3915	258	1	548	1490	0	456	385	303	87	0	0
P9301_08351 	856	70	3	0	1593	715	1236	31	408	13	2523	1	809	216	105	5376	446	0	393	326	0	1048	184	254	224	0	1
P9301_08361 	193	0	7	0	227	31	71	1	79	22	89	0	70	113	14	457	130	0	35	118	0	412	74	21	0	0	2
P9301_08371 	137	7	0	0	340	84	245	4	156	10	600	0	320	152	19	1232	182	0	128	232	0	548	85	36	0	0	0
P9301_08381 	67	26	0	0	394	129	80	27	122	0	204	0	124	166	19	584	35	0	74	291	0	388	121	43	0	0	0
P9301_08391 	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	49	0	0	0	0
P9301_08401 	4	0	0	0	194	7	4	6	5	0	2	0	8	0	0	31	25	0	0	36	0	0	53	0	0	0	0
P9301_08411 	11	0	0	0	125	0	1	0	2	0	14	0	8	0	0	45	10	0	35	49	0	14	51	9	0	0	0
P9301_08421 	1024	1043	71	0	181	2356	1424	906	6882	514	4652	0	4407	6767	29	11146	1825	1	359	1422	0	7388	1132	124	104	0	4
P9301_08431 	27	4	0	0	198	35	22	0	43	0	37	0	29	66	11	154	35	0	46	99	0	133	9	25	81	0	0
P9301_08441 	2	0	0	0	1	0	0	0	5	0	15	0	1	49	0	13	2	0	0	2	0	1	10	0	0	0	0
P9301_08451 	35	12	0	0	15	1	28	0	34	0	42	0	56	64	0	53	14	0	35	57	0	157	0	6	0	0	0
P9301_08461 	10	9	21	0	0	57	47	0	40	0	108	0	47	65	0	61	55	1	26	63	0	213	46	4	6	0	0
